,Dia,Mes,Year,RangoHora,Aforo,HoraDes,HoraHas,FechaDes,FechaHas,Festivo
0,12,1,2016,0-6,0.0,0,6,2016-01-12 00:00:00,2016-01-12 05:59:00,False
1,12,1,2016,6-9,20.0,6,9,2016-01-12 06:00:00,2016-01-12 08:59:00,False
2,12,1,2016,9-14 ,67.0,9,14 ,2016-01-12 09:00:00,2016-01-12 13:59:00,False
3,12,1,2016,14-18 ,21.0,14,18 ,2016-01-12 14:00:00,2016-01-12 17:59:00,False
4,12,1,2016,18-20 ,3.0,18,20 ,2016-01-12 18:00:00,2016-01-12 19:59:00,False
5,12,1,2016,20-24 ,0.0,20,24 ,2016-01-12 20:00:00,2016-01-12 23:59:00,False
6,13,1,2016,0-6,0.0,0,6,2016-01-13 00:00:00,2016-01-13 05:59:00,False
7,13,1,2016,6-9,16.0,6,9,2016-01-13 06:00:00,2016-01-13 08:59:00,False
8,13,1,2016,9-14 ,57.0,9,14 ,2016-01-13 09:00:00,2016-01-13 13:59:00,False
9,13,1,2016,14-18 ,39.0,14,18 ,2016-01-13 14:00:00,2016-01-13 17:59:00,False
10,13,1,2016,18-20 ,9.0,18,20 ,2016-01-13 18:00:00,2016-01-13 19:59:00,False
11,13,1,2016,20-24 ,2.0,20,24 ,2016-01-13 20:00:00,2016-01-13 23:59:00,False
12,14,1,2016,0-6,0.0,0,6,2016-01-14 00:00:00,2016-01-14 05:59:00,False
13,14,1,2016,6-9,75.0,6,9,2016-01-14 06:00:00,2016-01-14 08:59:00,False
14,14,1,2016,9-14 ,311.0,9,14 ,2016-01-14 09:00:00,2016-01-14 13:59:00,False
15,14,1,2016,14-18 ,218.0,14,18 ,2016-01-14 14:00:00,2016-01-14 17:59:00,False
16,14,1,2016,18-20 ,12.0,18,20 ,2016-01-14 18:00:00,2016-01-14 19:59:00,False
17,14,1,2016,20-24 ,2.0,20,24 ,2016-01-14 20:00:00,2016-01-14 23:59:00,False
18,15,1,2016,0-6,1.0,0,6,2016-01-15 00:00:00,2016-01-15 05:59:00,False
19,15,1,2016,6-9,83.0,6,9,2016-01-15 06:00:00,2016-01-15 08:59:00,False
20,15,1,2016,9-14 ,321.0,9,14 ,2016-01-15 09:00:00,2016-01-15 13:59:00,False
21,15,1,2016,14-18 ,222.0,14,18 ,2016-01-15 14:00:00,2016-01-15 17:59:00,False
22,15,1,2016,18-20 ,30.0,18,20 ,2016-01-15 18:00:00,2016-01-15 19:59:00,False
23,15,1,2016,20-24 ,12.0,20,24 ,2016-01-15 20:00:00,2016-01-15 23:59:00,False
24,16,1,2016,0-6,0.0,0,6,2016-01-16 00:00:00,2016-01-16 05:59:00,False
25,16,1,2016,6-9,37.0,6,9,2016-01-16 06:00:00,2016-01-16 08:59:00,False
26,16,1,2016,9-14 ,161.0,9,14 ,2016-01-16 09:00:00,2016-01-16 13:59:00,False
27,16,1,2016,14-18 ,55.0,14,18 ,2016-01-16 14:00:00,2016-01-16 17:59:00,False
28,16,1,2016,18-20 ,2.0,18,20 ,2016-01-16 18:00:00,2016-01-16 19:59:00,False
29,16,1,2016,20-24 ,0.0,20,24 ,2016-01-16 20:00:00,2016-01-16 23:59:00,False
30,17,1,2016,0-6,0.0,0,6,2016-01-17 00:00:00,2016-01-17 05:59:00,False
31,17,1,2016,6-9,0.0,6,9,2016-01-17 06:00:00,2016-01-17 08:59:00,False
32,17,1,2016,9-14 ,9.0,9,14 ,2016-01-17 09:00:00,2016-01-17 13:59:00,False
33,17,1,2016,14-18 ,0.0,14,18 ,2016-01-17 14:00:00,2016-01-17 17:59:00,False
34,17,1,2016,18-20 ,0.0,18,20 ,2016-01-17 18:00:00,2016-01-17 19:59:00,False
35,17,1,2016,20-24 ,0.0,20,24 ,2016-01-17 20:00:00,2016-01-17 23:59:00,False
36,18,1,2016,0-6,0.0,0,6,2016-01-18 00:00:00,2016-01-18 05:59:00,False
37,18,1,2016,6-9,127.0,6,9,2016-01-18 06:00:00,2016-01-18 08:59:00,False
38,18,1,2016,9-14 ,481.0,9,14 ,2016-01-18 09:00:00,2016-01-18 13:59:00,False
39,18,1,2016,14-18 ,255.0,14,18 ,2016-01-18 14:00:00,2016-01-18 17:59:00,False
40,18,1,2016,18-20 ,22.0,18,20 ,2016-01-18 18:00:00,2016-01-18 19:59:00,False
41,18,1,2016,20-24 ,0.0,20,24 ,2016-01-18 20:00:00,2016-01-18 23:59:00,False
42,19,1,2016,0-6,1.0,0,6,2016-01-19 00:00:00,2016-01-19 05:59:00,False
43,19,1,2016,6-9,175.0,6,9,2016-01-19 06:00:00,2016-01-19 08:59:00,False
44,19,1,2016,9-14 ,478.0,9,14 ,2016-01-19 09:00:00,2016-01-19 13:59:00,False
45,19,1,2016,14-18 ,295.0,14,18 ,2016-01-19 14:00:00,2016-01-19 17:59:00,False
46,19,1,2016,18-20 ,21.0,18,20 ,2016-01-19 18:00:00,2016-01-19 19:59:00,False
47,19,1,2016,20-24 ,1.0,20,24 ,2016-01-19 20:00:00,2016-01-19 23:59:00,False
48,20,1,2016,0-6,0.0,0,6,2016-01-20 00:00:00,2016-01-20 05:59:00,False
49,20,1,2016,6-9,191.0,6,9,2016-01-20 06:00:00,2016-01-20 08:59:00,False
50,20,1,2016,9-14 ,598.0,9,14 ,2016-01-20 09:00:00,2016-01-20 13:59:00,False
51,20,1,2016,14-18 ,316.0,14,18 ,2016-01-20 14:00:00,2016-01-20 17:59:00,False
52,20,1,2016,18-20 ,18.0,18,20 ,2016-01-20 18:00:00,2016-01-20 19:59:00,False
53,20,1,2016,20-24 ,3.0,20,24 ,2016-01-20 20:00:00,2016-01-20 23:59:00,False
54,21,1,2016,0-6,1.0,0,6,2016-01-21 00:00:00,2016-01-21 05:59:00,False
55,21,1,2016,6-9,185.0,6,9,2016-01-21 06:00:00,2016-01-21 08:59:00,False
56,21,1,2016,9-14 ,617.0,9,14 ,2016-01-21 09:00:00,2016-01-21 13:59:00,False
57,21,1,2016,14-18 ,346.0,14,18 ,2016-01-21 14:00:00,2016-01-21 17:59:00,False
58,21,1,2016,18-20 ,20.0,18,20 ,2016-01-21 18:00:00,2016-01-21 19:59:00,False
59,21,1,2016,20-24 ,4.0,20,24 ,2016-01-21 20:00:00,2016-01-21 23:59:00,False
60,22,1,2016,0-6,1.0,0,6,2016-01-22 00:00:00,2016-01-22 05:59:00,False
61,22,1,2016,6-9,174.0,6,9,2016-01-22 06:00:00,2016-01-22 08:59:00,False
62,22,1,2016,9-14 ,549.0,9,14 ,2016-01-22 09:00:00,2016-01-22 13:59:00,False
63,22,1,2016,14-18 ,318.0,14,18 ,2016-01-22 14:00:00,2016-01-22 17:59:00,False
64,22,1,2016,18-20 ,31.0,18,20 ,2016-01-22 18:00:00,2016-01-22 19:59:00,False
65,22,1,2016,20-24 ,2.0,20,24 ,2016-01-22 20:00:00,2016-01-22 23:59:00,False
66,23,1,2016,0-6,0.0,0,6,2016-01-23 00:00:00,2016-01-23 05:59:00,False
67,23,1,2016,6-9,21.0,6,9,2016-01-23 06:00:00,2016-01-23 08:59:00,False
68,23,1,2016,9-14 ,112.0,9,14 ,2016-01-23 09:00:00,2016-01-23 13:59:00,False
69,23,1,2016,14-18 ,49.0,14,18 ,2016-01-23 14:00:00,2016-01-23 17:59:00,False
70,23,1,2016,18-20 ,1.0,18,20 ,2016-01-23 18:00:00,2016-01-23 19:59:00,False
71,23,1,2016,20-24 ,0.0,20,24 ,2016-01-23 20:00:00,2016-01-23 23:59:00,False
72,25,1,2016,0-6,0.0,0,6,2016-01-25 00:00:00,2016-01-25 05:59:00,False
73,25,1,2016,6-9,421.0,6,9,2016-01-25 06:00:00,2016-01-25 08:59:00,False
74,25,1,2016,9-14 ,1313.0,9,14 ,2016-01-25 09:00:00,2016-01-25 13:59:00,False
75,25,1,2016,14-18 ,943.0,14,18 ,2016-01-25 14:00:00,2016-01-25 17:59:00,False
76,25,1,2016,18-20 ,116.0,18,20 ,2016-01-25 18:00:00,2016-01-25 19:59:00,False
77,25,1,2016,20-24 ,9.0,20,24 ,2016-01-25 20:00:00,2016-01-25 23:59:00,False
78,26,1,2016,0-6,2.0,0,6,2016-01-26 00:00:00,2016-01-26 05:59:00,False
79,26,1,2016,6-9,418.0,6,9,2016-01-26 06:00:00,2016-01-26 08:59:00,False
80,26,1,2016,9-14 ,1861.0,9,14 ,2016-01-26 09:00:00,2016-01-26 13:59:00,False
81,26,1,2016,14-18 ,1082.0,14,18 ,2016-01-26 14:00:00,2016-01-26 17:59:00,False
82,26,1,2016,18-20 ,139.0,18,20 ,2016-01-26 18:00:00,2016-01-26 19:59:00,False
83,26,1,2016,20-24 ,14.0,20,24 ,2016-01-26 20:00:00,2016-01-26 23:59:00,False
84,27,1,2016,0-6,5.0,0,6,2016-01-27 00:00:00,2016-01-27 05:59:00,False
85,27,1,2016,6-9,379.0,6,9,2016-01-27 06:00:00,2016-01-27 08:59:00,False
86,27,1,2016,9-14 ,1842.0,9,14 ,2016-01-27 09:00:00,2016-01-27 13:59:00,False
87,27,1,2016,14-18 ,1015.0,14,18 ,2016-01-27 14:00:00,2016-01-27 17:59:00,False
88,27,1,2016,18-20 ,146.0,18,20 ,2016-01-27 18:00:00,2016-01-27 19:59:00,False
89,27,1,2016,20-24 ,43.0,20,24 ,2016-01-27 20:00:00,2016-01-27 23:59:00,False
90,28,1,2016,0-6,13.0,0,6,2016-01-28 00:00:00,2016-01-28 05:59:00,False
91,28,1,2016,6-9,434.0,6,9,2016-01-28 06:00:00,2016-01-28 08:59:00,False
92,28,1,2016,9-14 ,1887.0,9,14 ,2016-01-28 09:00:00,2016-01-28 13:59:00,False
93,28,1,2016,14-18 ,1219.0,14,18 ,2016-01-28 14:00:00,2016-01-28 17:59:00,False
94,28,1,2016,18-20 ,177.0,18,20 ,2016-01-28 18:00:00,2016-01-28 19:59:00,False
95,28,1,2016,20-24 ,5.0,20,24 ,2016-01-28 20:00:00,2016-01-28 23:59:00,False
96,29,1,2016,0-6,1.0,0,6,2016-01-29 00:00:00,2016-01-29 05:59:00,False
97,29,1,2016,6-9,384.0,6,9,2016-01-29 06:00:00,2016-01-29 08:59:00,False
98,29,1,2016,9-14 ,1931.0,9,14 ,2016-01-29 09:00:00,2016-01-29 13:59:00,False
99,29,1,2016,14-18 ,689.0,14,18 ,2016-01-29 14:00:00,2016-01-29 17:59:00,False
100,29,1,2016,18-20 ,81.0,18,20 ,2016-01-29 18:00:00,2016-01-29 19:59:00,False
101,29,1,2016,20-24 ,9.0,20,24 ,2016-01-29 20:00:00,2016-01-29 23:59:00,False
102,30,1,2016,0-6,2.0,0,6,2016-01-30 00:00:00,2016-01-30 05:59:00,False
103,30,1,2016,6-9,39.0,6,9,2016-01-30 06:00:00,2016-01-30 08:59:00,False
104,30,1,2016,9-14 ,291.0,9,14 ,2016-01-30 09:00:00,2016-01-30 13:59:00,False
105,30,1,2016,14-18 ,79.0,14,18 ,2016-01-30 14:00:00,2016-01-30 17:59:00,False
106,30,1,2016,18-20 ,8.0,18,20 ,2016-01-30 18:00:00,2016-01-30 19:59:00,False
107,30,1,2016,20-24 ,0.0,20,24 ,2016-01-30 20:00:00,2016-01-30 23:59:00,False
108,1,2,2016,0-6,5.0,0,6,2016-02-01 00:00:00,2016-02-01 05:59:00,False
109,1,2,2016,6-9,525.0,6,9,2016-02-01 06:00:00,2016-02-01 08:59:00,False
110,1,2,2016,9-14 ,2284.0,9,14 ,2016-02-01 09:00:00,2016-02-01 13:59:00,False
111,1,2,2016,14-18 ,1336.0,14,18 ,2016-02-01 14:00:00,2016-02-01 17:59:00,False
112,1,2,2016,18-20 ,187.0,18,20 ,2016-02-01 18:00:00,2016-02-01 19:59:00,False
113,1,2,2016,20-24 ,3.0,20,24 ,2016-02-01 20:00:00,2016-02-01 23:59:00,False
114,2,2,2016,0-6,3.0,0,6,2016-02-02 00:00:00,2016-02-02 05:59:00,False
115,2,2,2016,6-9,474.0,6,9,2016-02-02 06:00:00,2016-02-02 08:59:00,False
116,2,2,2016,9-14 ,2158.0,9,14 ,2016-02-02 09:00:00,2016-02-02 13:59:00,False
117,2,2,2016,14-18 ,1181.0,14,18 ,2016-02-02 14:00:00,2016-02-02 17:59:00,False
118,2,2,2016,18-20 ,164.0,18,20 ,2016-02-02 18:00:00,2016-02-02 19:59:00,False
119,2,2,2016,20-24 ,6.0,20,24 ,2016-02-02 20:00:00,2016-02-02 23:59:00,False
120,3,2,2016,0-6,4.0,0,6,2016-02-03 00:00:00,2016-02-03 05:59:00,False
121,3,2,2016,6-9,473.0,6,9,2016-02-03 06:00:00,2016-02-03 08:59:00,False
122,3,2,2016,9-14 ,2029.0,9,14 ,2016-02-03 09:00:00,2016-02-03 13:59:00,False
123,3,2,2016,14-18 ,1170.0,14,18 ,2016-02-03 14:00:00,2016-02-03 17:59:00,False
124,3,2,2016,18-20 ,169.0,18,20 ,2016-02-03 18:00:00,2016-02-03 19:59:00,False
125,3,2,2016,20-24 ,9.0,20,24 ,2016-02-03 20:00:00,2016-02-03 23:59:00,False
126,4,2,2016,0-6,0.0,0,6,2016-02-04 00:00:00,2016-02-04 05:59:00,False
127,4,2,2016,6-9,466.0,6,9,2016-02-04 06:00:00,2016-02-04 08:59:00,False
128,4,2,2016,9-14 ,1994.0,9,14 ,2016-02-04 09:00:00,2016-02-04 13:59:00,False
129,4,2,2016,14-18 ,1236.0,14,18 ,2016-02-04 14:00:00,2016-02-04 17:59:00,False
130,4,2,2016,18-20 ,165.0,18,20 ,2016-02-04 18:00:00,2016-02-04 19:59:00,False
131,4,2,2016,20-24 ,9.0,20,24 ,2016-02-04 20:00:00,2016-02-04 23:59:00,False
132,5,2,2016,0-6,2.0,0,6,2016-02-05 00:00:00,2016-02-05 05:59:00,False
133,5,2,2016,6-9,462.0,6,9,2016-02-05 06:00:00,2016-02-05 08:59:00,False
134,5,2,2016,9-14 ,1884.0,9,14 ,2016-02-05 09:00:00,2016-02-05 13:59:00,False
135,5,2,2016,14-18 ,737.0,14,18 ,2016-02-05 14:00:00,2016-02-05 17:59:00,False
136,5,2,2016,18-20 ,70.0,18,20 ,2016-02-05 18:00:00,2016-02-05 19:59:00,False
137,5,2,2016,20-24 ,10.0,20,24 ,2016-02-05 20:00:00,2016-02-05 23:59:00,False
138,6,2,2016,0-6,1.0,0,6,2016-02-06 00:00:00,2016-02-06 05:59:00,False
139,6,2,2016,6-9,61.0,6,9,2016-02-06 06:00:00,2016-02-06 08:59:00,False
140,6,2,2016,9-14 ,304.0,9,14 ,2016-02-06 09:00:00,2016-02-06 13:59:00,False
141,6,2,2016,14-18 ,139.0,14,18 ,2016-02-06 14:00:00,2016-02-06 17:59:00,False
142,6,2,2016,18-20 ,16.0,18,20 ,2016-02-06 18:00:00,2016-02-06 19:59:00,False
143,6,2,2016,20-24 ,0.0,20,24 ,2016-02-06 20:00:00,2016-02-06 23:59:00,False
144,7,2,2016,0-6,0.0,0,6,2016-02-07 00:00:00,2016-02-07 05:59:00,False
145,7,2,2016,6-9,0.0,6,9,2016-02-07 06:00:00,2016-02-07 08:59:00,False
146,7,2,2016,9-14 ,0.0,9,14 ,2016-02-07 09:00:00,2016-02-07 13:59:00,False
147,7,2,2016,14-18 ,13.0,14,18 ,2016-02-07 14:00:00,2016-02-07 17:59:00,False
148,7,2,2016,18-20 ,0.0,18,20 ,2016-02-07 18:00:00,2016-02-07 19:59:00,False
149,7,2,2016,20-24 ,0.0,20,24 ,2016-02-07 20:00:00,2016-02-07 23:59:00,False
150,8,2,2016,0-6,5.0,0,6,2016-02-08 00:00:00,2016-02-08 05:59:00,False
151,8,2,2016,6-9,574.0,6,9,2016-02-08 06:00:00,2016-02-08 08:59:00,False
152,8,2,2016,9-14 ,2226.0,9,14 ,2016-02-08 09:00:00,2016-02-08 13:59:00,False
153,8,2,2016,14-18 ,1336.0,14,18 ,2016-02-08 14:00:00,2016-02-08 17:59:00,False
154,8,2,2016,18-20 ,200.0,18,20 ,2016-02-08 18:00:00,2016-02-08 19:59:00,False
155,8,2,2016,20-24 ,12.0,20,24 ,2016-02-08 20:00:00,2016-02-08 23:59:00,False
156,9,2,2016,0-6,9.0,0,6,2016-02-09 00:00:00,2016-02-09 05:59:00,False
157,9,2,2016,6-9,399.0,6,9,2016-02-09 06:00:00,2016-02-09 08:59:00,False
158,9,2,2016,9-14 ,2013.0,9,14 ,2016-02-09 09:00:00,2016-02-09 13:59:00,False
159,9,2,2016,14-18 ,1288.0,14,18 ,2016-02-09 14:00:00,2016-02-09 17:59:00,False
160,9,2,2016,18-20 ,182.0,18,20 ,2016-02-09 18:00:00,2016-02-09 19:59:00,False
161,9,2,2016,20-24 ,20.0,20,24 ,2016-02-09 20:00:00,2016-02-09 23:59:00,False
162,10,2,2016,0-6,4.0,0,6,2016-02-10 00:00:00,2016-02-10 05:59:00,False
163,10,2,2016,6-9,472.0,6,9,2016-02-10 06:00:00,2016-02-10 08:59:00,False
164,10,2,2016,9-14 ,2102.0,9,14 ,2016-02-10 09:00:00,2016-02-10 13:59:00,False
165,10,2,2016,14-18 ,1180.0,14,18 ,2016-02-10 14:00:00,2016-02-10 17:59:00,False
166,10,2,2016,18-20 ,226.0,18,20 ,2016-02-10 18:00:00,2016-02-10 19:59:00,False
167,10,2,2016,20-24 ,5.0,20,24 ,2016-02-10 20:00:00,2016-02-10 23:59:00,False
168,11,2,2016,0-6,4.0,0,6,2016-02-11 00:00:00,2016-02-11 05:59:00,False
169,11,2,2016,6-9,392.0,6,9,2016-02-11 06:00:00,2016-02-11 08:59:00,False
170,11,2,2016,9-14 ,1829.0,9,14 ,2016-02-11 09:00:00,2016-02-11 13:59:00,False
171,11,2,2016,14-18 ,1252.0,14,18 ,2016-02-11 14:00:00,2016-02-11 17:59:00,False
172,11,2,2016,18-20 ,152.0,18,20 ,2016-02-11 18:00:00,2016-02-11 19:59:00,False
173,11,2,2016,20-24 ,13.0,20,24 ,2016-02-11 20:00:00,2016-02-11 23:59:00,False
174,12,2,2016,0-6,3.0,0,6,2016-02-12 00:00:00,2016-02-12 05:59:00,False
175,12,2,2016,6-9,430.0,6,9,2016-02-12 06:00:00,2016-02-12 08:59:00,False
176,12,2,2016,9-14 ,1645.0,9,14 ,2016-02-12 09:00:00,2016-02-12 13:59:00,False
177,12,2,2016,14-18 ,693.0,14,18 ,2016-02-12 14:00:00,2016-02-12 17:59:00,False
178,12,2,2016,18-20 ,109.0,18,20 ,2016-02-12 18:00:00,2016-02-12 19:59:00,False
179,12,2,2016,20-24 ,9.0,20,24 ,2016-02-12 20:00:00,2016-02-12 23:59:00,False
180,13,2,2016,0-6,0.0,0,6,2016-02-13 00:00:00,2016-02-13 05:59:00,False
181,13,2,2016,6-9,64.0,6,9,2016-02-13 06:00:00,2016-02-13 08:59:00,False
182,13,2,2016,9-14 ,402.0,9,14 ,2016-02-13 09:00:00,2016-02-13 13:59:00,False
183,13,2,2016,14-18 ,182.0,14,18 ,2016-02-13 14:00:00,2016-02-13 17:59:00,False
184,13,2,2016,18-20 ,10.0,18,20 ,2016-02-13 18:00:00,2016-02-13 19:59:00,False
185,13,2,2016,20-24 ,0.0,20,24 ,2016-02-13 20:00:00,2016-02-13 23:59:00,False
186,15,2,2016,0-6,2.0,0,6,2016-02-15 00:00:00,2016-02-15 05:59:00,False
187,15,2,2016,6-9,511.0,6,9,2016-02-15 06:00:00,2016-02-15 08:59:00,False
188,15,2,2016,9-14 ,2224.0,9,14 ,2016-02-15 09:00:00,2016-02-15 13:59:00,False
189,15,2,2016,14-18 ,1376.0,14,18 ,2016-02-15 14:00:00,2016-02-15 17:59:00,False
190,15,2,2016,18-20 ,209.0,18,20 ,2016-02-15 18:00:00,2016-02-15 19:59:00,False
